City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
418,Lishu,CN,84.4,broken clouds,43.3047,124.3278,Su Camp Business Hotel
420,Los Llanos De Aridane,ES,73.15,clear sky,28.6585,-17.9182,Valle Aridane
421,Jalu,LY,80.06,clear sky,29.0331,21.5482,صاحبة الفخامة
422,Osmena,PH,84.99,broken clouds,10.5208,119.9258,Arjemarkyza Lodge
423,Mahibadhoo,MV,81.73,broken clouds,3.7833,72.9667,Omadhoo Inn
424,Waingapu,ID,84.6,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
426,Astana,KZ,76.95,clear sky,51.1801,71.446,King Hotel Astana
427,Lagoa,PT,72.55,scattered clouds,39.05,-27.9833,Casa Das Faias
428,Santa Isabel Do Rio Negro,BR,72.41,light rain,-0.4139,-65.0192,Hotel GSA
432,Melendugno,IT,79.63,clear sky,40.2747,18.3368,Alba Bed & Breakfast Melendugno
435,Brownfield,US,87.94,scattered clouds,33.1812,-102.2744,"Holiday Inn Express & Suites Brownfield, an IHG Hotel"
438,Lichuan,CN,79.27,moderate rain,30.3,108.85,Yuanlai Homestay
444,Kastrakion,GR,73.22,clear sky,39.7156,21.6181,Dellas Boutique Hotel
445,Kelo,TD,73.24,light rain,9.3086,15.8066,Plantation de Kelo
446,Shenxian,CN,89.1,clear sky,36.2411,115.6672,Xinhe Hotel
447,Cayenne,GF,77.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
448,Seoul,KR,88.99,broken clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
450,Tortoli,IT,78.48,clear sky,39.9256,9.6572,Hotel La Bitta
454,La Maddalena,IT,77.16,clear sky,41.2142,9.4083,Hotel Il Gabbiano
456,Matara,LK,81.61,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
457,Auki,SB,85.3,broken clouds,-8.7676,160.7034,Auki Motel
459,Guanica,PR,81.91,few clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
463,Ukiah,US,73.36,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
465,Kimbe,PG,84.56,light rain,-5.5502,150.1429,Kimbe Bay Hotel
468,Buala,SB,85.35,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
473,Circleville,US,72.18,clear sky,39.6006,-82.946,"Holiday Inn Express & Suites Circleville, an IHG Hotel"
477,Monrovia,LR,74.97,light rain,6.3005,-10.7969,Sunset Inn
478,Viransehir,TR,85.46,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
479,Medea,DZ,72.01,clear sky,36.2642,2.7539,Hôtel M'Sallah
481,Darnah,LY,77.52,clear sky,32.767,22.6367,فندق الفردوس
487,Orange,US,80.53,clear sky,33.7,-117.7675,Meadows
488,Bandarbeyla,SO,79.86,clear sky,9.4942,50.8122,JABIR HOTEL
492,Vrangel,RU,72.55,scattered clouds,42.7297,133.0839,"Отель ""БАЛИ"""
496,Kibala,TD,75.15,thunderstorm with light rain,9.1104,18.3463,Prasant Hotels
498,Bani Walid,LY,74.08,clear sky,31.7566,13.9942,منزل مفتاح محمد الزلبي
503,Elizabeth City,US,78.03,overcast clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
504,Bilma,NE,85.86,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
508,Pekan,MY,87.91,scattered clouds,3.4836,103.3996,Pekan Budget Hotel
512,Ambon,ID,80.74,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
517,Banjar,ID,87.06,few clouds,-8.19,114.9675,The Hamsa Resort
523,Bensonville,LR,74.75,light rain,6.4461,-10.6125,Moinga
524,Callaguip,PH,87.82,scattered clouds,18.0714,120.4867,Pangil Beach Resort
525,Mumford,GH,74.32,overcast clouds,5.2618,-0.759,Spanish Villa
526,Kailua,US,82.38,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
528,Kununurra,AU,82.38,clear sky,-15.7667,128.7333,Hotel Kununurra
529,Mackay,AU,77.68,clear sky,-21.15,149.2,International Lodge Motel
531,Alyangula,AU,76.95,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
536,Lar,IN,87.28,overcast clouds,26.2039,83.9717,Ovaiskarni ward Lar
537,Bud,US,72.91,broken clouds,39.447,-86.1758,Ted McQuinn Trust
542,Nishihara,JP,87.08,scattered clouds,26.1842,127.7558,Minshuku Agaihama
544,Furano,JP,76.5,overcast clouds,43.2818,142.4743,星人の宿・ペンション和田
549,Celestun,MX,78.06,scattered clouds,20.8667,-90.4,Posada Lilia
550,Bozhou,CN,88.63,overcast clouds,33.8772,115.7703,Haitian Hotel
