City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
101,Clyde River,CA,2022-08-01 01:03:53,70.4692,-68.5914,34.34,95,100,4.61,overcast clouds
102,Turukhansk,RU,2022-08-01 01:03:53,65.8167,87.9833,50.65,70,98,12.53,overcast clouds
103,Kapaa,US,2022-08-01 01:03:53,22.0752,-159.319,87.78,62,0,14.97,clear sky
104,Goundam,ML,2022-08-01 01:03:54,16.4145,-3.6708,92.48,35,96,7.83,light rain
105,Kattivakkam,IN,2022-08-01 01:03:54,13.2167,80.3167,83.07,86,100,9.75,overcast clouds
106,San Patricio,US,2022-08-01 01:03:06,28.017,-97.5169,89.69,60,100,14.14,overcast clouds
107,Sokoni,TZ,2022-08-01 01:03:55,-6.4333,39.55,74.64,82,3,13.18,clear sky
108,Tiksi,RU,2022-08-01 01:03:55,71.6872,128.8694,40.64,94,100,17.74,moderate rain
109,Bulgan,MN,2022-08-01 01:03:55,48.8125,103.5347,68.54,57,29,3.53,scattered clouds
110,Balabac,PH,2022-08-01 01:03:56,7.9868,117.0645,79.5,82,100,7.72,light rain
111,Arraial Do Cabo,BR,2022-08-01 01:02:57,-22.9661,-42.0278,68.34,69,0,10.04,clear sky
112,Smithers,CA,2022-08-01 01:03:56,54.7804,-127.1743,79.43,40,100,7.25,overcast clouds
113,Libenge,CD,2022-08-01 01:03:56,3.65,18.6333,69.12,91,99,2.06,overcast clouds
114,Yaan,NG,2022-08-01 01:03:57,7.3833,8.5667,71.24,97,100,8.55,overcast clouds
115,Rocha,UY,2022-08-01 00:59:02,-34.4833,-54.3333,47.84,80,65,4.09,broken clouds
116,Kodiak,US,2022-08-01 01:03:57,57.79,-152.4072,62.11,72,75,5.75,broken clouds
117,Aklavik,CA,2022-08-01 01:03:58,68.2191,-135.0107,67.21,44,68,4.0,broken clouds
118,Adolfo Lopez Mateos,MX,2022-08-01 01:03:58,28.4667,-107.3,74.93,31,100,14.29,overcast clouds
119,Pevek,RU,2022-08-01 01:03:58,69.7008,170.3133,50.77,59,0,11.43,clear sky
120,Singleton,AU,2022-08-01 01:03:59,-32.5667,151.1833,58.98,84,100,7.0,overcast clouds
121,Camacha,PT,2022-08-01 01:03:59,33.0833,-16.3333,67.42,78,40,12.66,scattered clouds
122,Manado,ID,2022-08-01 01:00:58,1.487,124.8455,86.77,70,20,1.14,few clouds
123,Norman Wells,CA,2022-08-01 01:04:00,65.282,-126.8329,74.32,40,31,6.51,scattered clouds
124,Viedma,AR,2022-08-01 01:04:00,-40.8135,-62.9967,45.23,70,100,6.85,overcast clouds
125,Southbridge,US,2022-08-01 01:04:00,42.0751,-72.0334,76.26,80,100,5.61,overcast clouds
126,Ilulissat,GL,2022-08-01 01:04:02,69.2167,-51.1,57.22,41,59,11.5,broken clouds
127,Canaries,ES,2022-08-01 01:04:02,28.0,-15.5,66.16,78,20,27.63,few clouds
128,Hobart,AU,2022-08-01 01:04:02,-42.8794,147.3294,52.27,69,75,11.5,broken clouds
129,Padang,ID,2022-08-01 01:04:03,-0.9492,100.3543,80.65,82,100,3.02,overcast clouds
130,Coquimbo,CL,2022-08-01 01:04:03,-29.9533,-71.3436,53.33,100,20,4.61,few clouds
131,Soyo,AO,2022-08-01 01:04:03,-6.1349,12.3689,68.81,93,10,8.95,clear sky
132,Fortuna,US,2022-08-01 01:04:04,40.5982,-124.1573,70.93,77,0,14.97,clear sky
133,Salalah,OM,2022-08-01 01:03:00,17.0151,54.0924,77.09,88,75,9.22,broken clouds
134,Hilo,US,2022-08-01 01:04:04,19.7297,-155.09,84.27,66,20,14.97,few clouds
135,Tuatapere,NZ,2022-08-01 01:00:01,-46.1333,167.6833,48.76,81,100,8.59,overcast clouds
136,Dubbo,AU,2022-08-01 01:04:05,-32.25,148.6167,57.33,77,75,11.5,broken clouds
137,Bathurst,AU,2022-08-01 01:00:21,-33.4166,149.5806,54.97,68,67,4.0,broken clouds
138,Winnemucca,US,2022-08-01 01:04:05,40.973,-117.7357,102.25,5,0,4.61,clear sky
139,Larsnes,NO,2022-08-01 01:04:06,62.2028,5.5773,54.01,86,61,3.96,broken clouds
140,Nanortalik,GL,2022-08-01 01:04:06,60.1432,-45.2371,46.54,92,71,6.53,broken clouds
141,Trat,TH,2022-08-01 01:04:06,12.5,102.5,81.88,97,100,3.6,light rain
142,Wagar,SD,2022-08-01 01:04:08,16.1525,36.2032,78.6,75,96,21.05,overcast clouds
143,Mehamn,NO,2022-08-01 01:03:15,71.0357,27.8492,57.15,94,75,0.0,broken clouds
144,Yulara,AU,2022-08-01 01:02:39,-25.2406,130.9889,59.97,31,57,13.73,broken clouds
145,Petrykivka,UA,2022-08-01 01:04:08,48.7298,34.6351,66.72,61,98,8.97,light rain
146,Mount Isa,AU,2022-08-01 01:04:09,-20.7333,139.5,76.77,23,0,6.91,clear sky
147,Katobu,ID,2022-08-01 01:03:46,-4.9408,122.5276,79.57,83,95,7.96,overcast clouds
148,Faanui,PF,2022-08-01 01:04:09,-16.4833,-151.75,78.64,71,15,24.58,light rain
