City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Yulara,AU,2022-07-26 03:34:27,-25.2406,130.9889,63.86,27,0,14.05
111,Isangel,VU,2022-07-26 03:34:32,-19.55,169.2667,75.31,94,75,5.75
112,Dingle,PH,2022-07-26 03:34:42,10.9995,122.6711,86.94,72,67,8.39
113,Bonavista,CA,2022-07-26 03:41:22,48.6499,-53.1147,62.96,95,94,17.11
114,Kinablangan,PH,2022-07-26 03:41:22,7.6947,126.5503,83.71,75,100,5.73
115,Kariba,ZW,2022-07-26 03:41:22,-16.5167,28.8,56.75,58,1,3.96
116,Souillac,MU,2022-07-26 03:34:35,-20.5167,57.5167,66.58,94,75,3.44
117,Butaritari,KI,2022-07-26 03:34:15,3.0707,172.7902,82.83,69,99,15.21
118,Koumac,NC,2022-07-26 03:41:23,-20.5667,164.2833,75.69,66,2,11.52
119,Biharamulo,TZ,2022-07-26 03:41:23,-2.6319,31.3089,59.77,61,29,3.85
120,Ulety,RU,2022-07-26 03:41:24,51.3572,112.4849,60.49,96,100,1.99
121,Pisco,PE,2022-07-26 03:35:01,-13.7,-76.2167,59.05,88,70,3.44
122,Quelimane,MZ,2022-07-26 03:39:06,-17.8786,36.8883,66.15,94,40,6.91
123,Puerto Ayora,EC,2022-07-26 03:30:51,-0.7393,-90.3518,69.55,93,98,5.01
124,Rietavas,LT,2022-07-26 03:41:24,55.7194,21.9311,62.06,79,93,9.08
125,Kodiak,US,2022-07-26 03:31:16,57.79,-152.4072,60.31,59,20,18.41
126,Kruisfontein,ZA,2022-07-26 03:34:44,-34.0033,24.7314,46.94,68,0,7.09
127,Grindavik,IS,2022-07-26 03:32:54,63.8424,-22.4338,50.47,100,100,6.91
128,Tilichiki,RU,2022-07-26 03:37:00,60.4667,166.1,56.35,74,100,7.09
129,Taksimo,RU,2022-07-26 03:41:25,56.3444,114.8794,80.94,46,23,5.3
130,Asfi,MA,2022-07-26 03:39:50,32.2994,-9.2372,74.57,67,4,14.18
131,Hithadhoo,MV,2022-07-26 03:34:34,-0.6,73.0833,83.12,73,18,13.44
132,Tambau,BR,2022-07-26 03:41:26,-21.705,-47.2744,61.97,55,5,2.19
